symbol,price,prev_close,pct_change,volume,volume_ratio,category
^INDIAVIX,11.12,10.32,7.8,0,1.0,Weak Bull
TECHM,1591.8,1570.8,1.34,2833472,1.25,Neutral
POLICYBZR,1913.9,1893.8,1.06,3420673,2.02,Neutral
WIPRO,261.38,259.91,0.57,9682865,0.9,Neutral
HCLTECH,1688.6,1683.0,0.33,2702390,0.92,Neutral
MFSL,1695.3,1690.2,0.3,801321,1.58,Neutral
DALBHARAT,1993.8,1989.0,0.24,553057,2.53,Neutral
SHREECEM,26135.0,26075.0,0.23,48561,1.53,Neutral
RELIANCE,1543.0,1540.6,0.16,11301028,1.11,Neutral
SUZLON,51.78,51.74,0.08,97427828,1.53,Neutral
HDFCBANK,1003.1,1003.3,-0.02,12900796,0.78,Neutral
CUMMINSIND,4467.0,4468.9,-0.04,451510,1.02,Neutral
TCS,3236.5,3238.2,-0.05,2544661,0.66,Neutral
GRASIM,2744.2,2747.0,-0.1,715668,1.8,Neutral
SBILIFE,2020.7,2023.7,-0.15,1050197,1.34,Neutral
ICICIBANK,1389.6,1392.5,-0.21,7825756,0.97,Neutral
PHOENIXLTD,1721.1,1725.1,-0.23,531853,1.66,Neutral
INFY,1610.8,1616.2,-0.33,7548995,0.76,Neutral
VOLTAS,1322.5,1327.0,-0.34,335954,0.48,Neutral
CHOLAFIN,1724.4,1730.4,-0.35,1060171,1.01,Neutral
HINDALCO,819.45,823.25,-0.46,4354455,1.03,Neutral
ABCAPITAL,357.1,358.75,-0.46,3662430,1.17,Neutral
ULTRACEMCO,11540.0,11597.0,-0.49,148184,0.8,Neutral
SUNPHARMA,1796.2,1805.3,-0.5,2410070,1.1,Neutral
PATANJALI,547.85,550.8,-0.54,1967247,0.91,Neutral
HDFCLIFE,764.05,768.3,-0.55,3775398,1.45,Neutral
LTIM,6256.0,6292.0,-0.57,253030,0.74,Neutral
MARUTI,16187.0,16282.0,-0.58,220493,0.76,Neutral
PAGEIND,37235.0,37455.0,-0.59,15077,0.44,Neutral
BSE,2798.8,2815.9,-0.61,5898689,1.67,Neutral
NUVAMA,7127.0,7172.5,-0.63,151668,1.98,Neutral
MUTHOOTFIN,3775.7,3800.1,-0.64,452750,1.29,Neutral
ITC,402.3,404.95,-0.65,6055141,0.81,Neutral
BLUESTARCO,1723.2,1734.4,-0.65,208590,0.83,Neutral
ICICIGI,1961.1,1974.4,-0.67,415417,1.08,Neutral
SUPREMEIND,3348.4,3371.1,-0.67,279616,1.16,Neutral
DRREDDY,1266.5,1275.2,-0.68,1435841,0.61,Neutral
TORNTPHARM,3760.0,3785.9,-0.68,144527,0.57,Neutral
FEDERALBNK,257.45,259.2,-0.68,5397323,0.91,Neutral
AXISBANK,1273.8,1282.5,-0.68,2969478,0.72,Neutral
COALINDIA,377.35,379.95,-0.68,3910714,1.05,Neutral
ZYDUSLIFE,924.6,931.45,-0.74,632149,0.72,Neutral
BPCL,357.55,360.3,-0.76,6761990,1.07,Neutral
COLPAL,2146.4,2164.4,-0.83,398107,0.91,Neutral
NHPC,76.43,77.07,-0.83,9178478,1.33,Neutral
AUBANK,952.55,960.7,-0.85,1172291,0.79,Neutral
NYKAA,252.6,254.8,-0.86,5791546,1.28,Neutral
BOSCHLTD,36595.0,36920.0,-0.88,17000,0.75,Neutral
MANKIND,2185.5,2205.5,-0.91,357269,0.78,Neutral
AMBUJACEM,528.95,533.8,-0.91,1893804,0.99,Neutral
BAJAJ-AUTO,9026.0,9109.0,-0.91,299422,0.94,Neutral
JINDALSTEL,997.5,1006.8,-0.92,1118237,0.89,Neutral
EICHERMOT,7142.0,7208.0,-0.92,273503,0.71,Neutral
M&M,3681.7,3717.1,-0.95,1500171,0.74,Neutral
IOC,162.1,163.66,-0.95,8744708,0.96,Neutral
HINDPETRO,445.95,450.35,-0.98,3238777,0.9,Neutral
ASHOKLEY,159.28,160.86,-0.98,11421690,0.61,Neutral
MARICO,729.3,736.65,-1.0,2300537,1.13,Neutral
HDFCAMC,2551.5,2577.5,-1.01,746598,1.22,Neutral
LT,3996.7,4038.2,-1.03,1127713,0.96,Neutral
HINDUNILVR,2314.0,2338.6,-1.05,1897997,0.67,Neutral
BHARTIARTL,2086.2,2108.8,-1.07,4326763,0.95,Neutral
KOTAKBANK,2131.6,2154.9,-1.08,2992040,1.07,Neutral
DABUR,504.45,510.1,-1.11,1140188,0.76,Neutral
ONGC,238.52,241.23,-1.12,5285634,0.64,Neutral
UNOMINDA,1258.2,1272.4,-1.12,709108,1.05,Neutral
NTPC,319.5,323.3,-1.18,7906757,1.14,Neutral
RVNL,307.15,310.85,-1.19,3966053,1.19,Neutral
SYNGENE,632.15,639.8,-1.2,597645,1.53,Neutral
NAUKRI,1372.1,1388.7,-1.2,668120,0.63,Neutral
TITAN,3767.0,3813.3,-1.21,545856,0.84,Neutral
GODREJCP,1121.6,1136.0,-1.27,790412,1.47,Neutral
PIDILITIND,1456.1,1475.1,-1.29,342996,0.75,Neutral
APOLLOHOSP,7096.0,7189.5,-1.3,287331,0.95,Neutral
SONACOMS,486.35,492.85,-1.32,891493,0.87,Neutral
COFORGE,1951.3,1977.9,-1.34,1538371,0.93,Neutral
LUPIN,2070.7,2098.8,-1.34,1254623,1.2,Neutral
ASIANPAINT,2928.3,2968.5,-1.35,983490,0.73,Neutral
ALKEM,5599.0,5675.5,-1.35,149501,1.66,Neutral
DIXON,13563.0,13749.0,-1.35,291175,1.13,Neutral
LICI,857.55,869.9,-1.42,1308929,1.1,Neutral
TATACHEM,762.95,774.05,-1.43,450143,1.51,Neutral
TVSMOTOR,3612.7,3665.4,-1.44,472888,0.83,Neutral
PETRONET,270.8,274.8,-1.46,1511995,0.38,Neutral
TATACONSUM,1145.8,1162.9,-1.47,590091,0.86,Neutral
MOTHERSON,115.3,117.05,-1.5,8907968,0.51,Neutral
JUBLFOOD,584.2,593.2,-1.52,921189,0.9,Neutral
CIPLA,1497.6,1520.8,-1.53,1263424,1.13,Neutral
HINDZINC,490.45,498.1,-1.54,2798212,0.53,Neutral
SBIN,956.4,971.5,-1.55,15384182,1.04,Neutral
MCX,10183.0,10343.0,-1.55,494824,1.03,Neutral
ICICIPRULI,616.25,626.05,-1.57,1711895,1.51,Neutral
360ONE,1128.2,1146.7,-1.61,908980,1.81,Neutral
DELHIVERY,398.05,404.6,-1.62,1380856,0.75,Neutral
IREDA,131.21,133.4,-1.64,9033554,1.22,Neutral
MAXHEALTH,1079.4,1097.4,-1.64,3013722,1.09,Neutral
KEI,4095.2,4163.5,-1.64,258132,1.54,Neutral
SBICARD,870.1,885.15,-1.7,395426,0.43,Neutral
POWERGRID,265.2,269.8,-1.7,10203016,1.25,Neutral
AMBER,6451.0,6562.5,-1.7,312002,0.82,Neutral
INDHOTEL,718.1,730.9,-1.75,2517920,1.22,Neutral
JSWENERGY,453.85,461.95,-1.75,3060904,0.8,Neutral
PAYTM,1321.0,1344.6,-1.76,2092188,0.86,Neutral
NATIONALUM,268.35,273.15,-1.76,7785178,0.78,Neutral
BAJAJFINSV,2059.2,2096.5,-1.78,904110,0.93,Neutral
ASTRAL,1433.3,1459.5,-1.8,643238,0.97,Neutral
UNITDSPR,1429.4,1455.6,-1.8,456180,0.64,Neutral
EXIDEIND,373.25,380.15,-1.82,2433154,1.33,Neutral
SRF,2831.9,2885.4,-1.85,267772,0.86,Neutral
GAIL,166.81,169.98,-1.86,10880348,1.07,Neutral
ADANIENSOL,960.5,978.85,-1.87,1414070,1.46,Neutral
RBLBANK,300.0,305.8,-1.9,3794950,0.88,Neutral
BRITANNIA,5847.5,5961.0,-1.9,185403,0.73,Neutral
ADANIPORTS,1480.5,1509.4,-1.91,1070402,0.69,Neutral
MPHASIS,2896.8,2953.6,-1.92,789135,1.21,Neutral
CDSL,1520.9,1550.6,-1.92,1629294,1.17,Neutral
OIL,403.95,411.95,-1.94,1200401,0.91,Neutral
PIIND,3329.7,3396.1,-1.96,86741,0.61,Neutral
APLAPOLLO,1736.1,1771.0,-1.97,867941,1.72,Neutral
HAVELLS,1407.3,1436.5,-2.03,642788,1.3,Strong Bear
IRCTC,661.3,675.2,-2.06,978632,1.1,Strong Bear
BAJFINANCE,1026.4,1048.0,-2.06,5188488,0.71,Weak Bear
SAIL,129.75,132.54,-2.11,10571376,0.91,Weak Bear
VBL,469.8,479.95,-2.11,2181731,0.75,Weak Bear
CONCOR,500.15,511.05,-2.13,2824621,1.3,Strong Bear
DMART,3867.6,3952.1,-2.14,268104,1.03,Strong Bear
LAURUSLABS,1004.1,1026.1,-2.14,1381101,1.21,Strong Bear
CGPOWER,647.15,661.35,-2.15,1950136,0.81,Weak Bear
JIOFIN,297.2,303.75,-2.16,12432110,1.5,Strong Bear
IDFCFIRSTB,79.12,80.87,-2.16,22400944,0.98,Weak Bear
ADANIENT,2216.2,2265.4,-2.17,939495,0.55,Weak Bear
TATASTEEL,163.47,167.11,-2.18,15766061,0.83,Weak Bear
TRENT,4090.5,4183.1,-2.21,1027565,1.54,Strong Bear
DIVISLAB,6328.5,6473.5,-2.24,179063,0.93,Weak Bear
ABB,5057.5,5173.5,-2.24,130543,1.18,Strong Bear
BIOCON,383.8,392.65,-2.25,6232310,0.86,Weak Bear
KFINTECH,1042.0,1066.4,-2.29,676517,0.58,Weak Bear
BHARATFORG,1373.6,1406.0,-2.3,662068,0.6,Weak Bear
CYIENT,1141.9,1169.2,-2.33,247874,0.7,Weak Bear
TATATECH,650.85,666.45,-2.34,635690,1.32,Strong Bear
IEX,141.91,145.31,-2.34,4374508,0.46,Weak Bear
OFSS,8026.0,8219.0,-2.35,149194,1.41,Strong Bear
GLENMARK,1921.9,1968.2,-2.35,834114,1.06,Strong Bear
ADANIGREEN,993.8,1017.7,-2.35,1311002,0.95,Weak Bear
NMDC,74.66,76.46,-2.35,14038694,0.81,Weak Bear
SHRIRAMFIN,834.25,854.9,-2.42,4117471,0.48,Weak Bear
ETERNAL,285.25,292.4,-2.45,85127960,2.41,Strong Bear
BANKBARODA,285.2,292.6,-2.53,6378764,0.56,Weak Bear
VEDL,511.25,524.5,-2.53,7596871,0.68,Weak Bear
UPL,739.85,759.1,-2.54,1584169,0.57,Weak Bear
NESTLEIND,1214.8,1246.9,-2.57,1534805,1.64,Strong Bear
IIFL,554.65,569.35,-2.58,664863,0.89,Weak Bear
PERSISTENT,6347.0,6520.5,-2.66,354476,0.97,Weak Bear
TATAPOWER,374.15,384.5,-2.69,7004640,1.5,Strong Bear
TORNTPOWER,1255.1,1289.9,-2.7,316625,0.96,Weak Bear
IRFC,111.36,114.6,-2.83,8549164,1.28,Strong Bear
MANAPPURAM,271.75,279.7,-2.84,2635822,1.39,Strong Bear
CROMPTON,252.7,260.1,-2.85,1786874,0.72,Weak Bear
CAMS,753.4,775.7,-2.87,1512930,0.67,Weak Bear
OBEROIRLTY,1610.0,1657.7,-2.88,542112,1.19,Strong Bear
HEROMOTOCO,6167.0,6350.5,-2.89,707395,0.98,Weak Bear
PPLPHARMA,174.65,179.85,-2.89,3033616,1.06,Strong Bear
PFC,342.45,352.65,-2.89,7186713,1.28,Strong Bear
BHEL,269.7,277.75,-2.9,5176915,0.85,Weak Bear
SOLARINDS,12436.0,12819.0,-2.99,82746,0.98,Weak Bear
RECLTD,342.6,353.3,-3.03,11233702,1.43,Strong Bear
INDUSTOWER,403.0,415.7,-3.06,6435379,0.88,Weak Bear
YESBANK,21.9,22.6,-3.1,92716728,0.84,Weak Bear
FORTIS,860.8,888.55,-3.12,2160759,0.88,Weak Bear
NCC,162.89,168.16,-3.13,3289782,1.27,Strong Bear
POLYCAB,7025.0,7257.0,-3.2,217547,1.03,Strong Bear
UNIONBANK,148.36,153.3,-3.22,13295078,0.65,Weak Bear
BANDHANBNK,135.47,140.08,-3.29,7993626,0.82,Weak Bear
AUROPHARMA,1177.4,1217.6,-3.3,950869,1.44,Strong Bear
INDUSINDBK,841.4,870.1,-3.3,2015516,0.7,Weak Bear
TITAGARH,763.05,789.05,-3.3,759213,1.04,Strong Bear
LTF,299.3,309.6,-3.33,5367049,1.0,Weak Bear
PNBHOUSING,873.15,903.85,-3.4,469203,0.82,Weak Bear
BANKINDIA,138.15,143.11,-3.47,7093260,0.88,Weak Bear
LICHSGFIN,522.8,541.8,-3.51,2160198,1.14,Strong Bear
HAL,4287.1,4443.0,-3.51,1756879,1.48,Strong Bear
TATAELXSI,5034.5,5217.5,-3.51,242774,0.94,Weak Bear
IGL,185.02,191.8,-3.53,1336864,1.03,Strong Bear
KALYANKJIL,475.05,492.5,-3.54,2066590,1.36,Strong Bear
LODHA,1072.0,1111.6,-3.56,636643,0.59,Weak Bear
NBCC,107.98,112.06,-3.64,10845446,1.52,Strong Bear
SIEMENS,3204.2,3325.9,-3.66,308749,0.78,Weak Bear
KPITTECH,1220.5,1267.0,-3.67,454171,0.82,Weak Bear
HFCL,66.49,69.03,-3.68,30621779,1.78,Strong Bear
INDIANB,779.1,808.95,-3.69,4503740,1.12,Strong Bear
JSWSTEEL,1119.1,1162.2,-3.71,1726337,0.57,Weak Bear
ANGELONE,2542.6,2641.7,-3.75,662876,0.55,Weak Bear
TIINDIA,2566.8,2666.7,-3.75,488197,1.28,Strong Bear
CANBK,142.84,148.64,-3.9,27688039,0.86,Weak Bear
PGEL,529.6,553.9,-4.39,4621997,1.93,Strong Bear
INOXWIND,124.48,130.24,-4.42,6166352,1.19,Strong Bear
DLF,687.45,719.75,-4.49,3504029,1.4,Strong Bear
GMRAIRPORT,98.71,103.51,-4.64,15104540,0.46,Weak Bear
SAMMAANCAP,141.43,148.32,-4.65,15481769,1.56,Strong Bear
PNB,116.0,121.71,-4.69,24052567,1.0,Weak Bear
IDEA,10.29,10.8,-4.72,847810526,1.56,Strong Bear
PRESTIGE,1610.0,1689.7,-4.72,1031720,2.52,Strong Bear
BEL,386.4,406.9,-5.04,25577491,1.78,Strong Bear
MAZDOCK,2483.7,2616.3,-5.07,1637053,2.14,Strong Bear
GODREJPROP,1975.1,2082.4,-5.15,1035871,2.01,Strong Bear
HUDCO,212.79,225.22,-5.52,6120800,1.47,Strong Bear
BDL,1423.1,1512.5,-5.91,1865124,1.07,Strong Bear
INDIGO,4923.5,5370.5,-8.32,15823964,2.74,Strong Bear
KAYNES,3807.0,4353.5,-12.55,10951396,2.37,Strong Bear
